IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.23,,,0.2,,0.25,0.23 [0.20 – 0.25],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,EST,Estonia,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.25,,,0.19,,0.3,0.25 [0.19 – 0.30],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,IDN,Indonesia,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.25,,,0.23,,0.28,0.25 [0.23 – 0.28],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,MEX,Mexico,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.26,,,0.22,,0.28,0.26 [0.22 – 0.28],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,LVA,Latvia,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.26,,,0.22,,0.29,0.26 [0.22 – 0.29],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,COL,Colombia,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.27,,,0.2,,0.36,0.27 [0.20 – 0.36],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.27,,,0.22,,0.31,0.27 [0.22 – 0.31],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.27,,,0.24,,0.29,0.27 [0.24 – 0.29],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,ETH,Ethiopia,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.28,,,0.15,,0.61,0.28 [0.15 – 0.61],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.28,,,0.16,,0.49,0.28 [0.16 – 0.49],,,EN,2025-07-16T18:30:00.000Z
